date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal
19,Sunkist Orange,0,1,1,0,0,0,1,0
19,Sierra Mist,0,1,1,0,0,0,1,0
19,Tropicana Lemonade,0,1,1,0,0,0,1,0
19,Tropicana Fruit Punch,0,1,1,0,0,0,1,0
19,Mountain Dew,0,1,1,0,0,0,1,0
19,Diet Mountain Dew,0,1,1,0,0,0,1,0
19,SoBe Lifewater Pomegranate,0,1,1,0,0,0,0,0
19,Brisk Green Tea Peach,0,1,1,0,0,0,0,0
19,Cheerwine,0,1,1,0,0,0,1,0
19,Diet Pepsi,0,1,1,0,0,0,1,0
19,Pepsi,0,1,1,0,0,0,1,0
19,Gatorade Fruit Punch,0,1,1,0,0,0,1,0
19,Gatorade Orange,0,1,1,0,0,0,0,0
19,Waffle Bar,1,0,1,0,0,0,0,0
19,Vegan Cranberry Almond Orange Quickbread,1,1,1,0,0,0,0,0
19,Apple Cinnamon Quickbread,1,0,1,0,0,0,1,0
19,Croissant,1,0,1,0,0,0,0,0
19,Cinnamon Rolls,1,0,1,0,0,0,0,0
19,Raisin Bran Muffin ,1,0,1,0,0,0,0,0
19,Coffee Cake,1,0,1,0,0,0,0,0
19,Assorted Donuts,1,0,1,0,0,0,0,0
19,Chocolate Soft Serve Ice Cream,1,0,1,0,0,0,1,0
19,Vanilla Soft Serve Ice Cream,1,0,1,0,0,0,1,0
19,Chicken Shawarma,1,0,0,0,0,0,1,1
19,Yellow Rice,1,1,1,1,0,0,1,0
19,Roasted Cauliflower,1,1,1,1,0,0,1,0
19,Steamed Broccoli ,1,1,1,1,0,0,1,0
19,Scrambled Eggs,1,0,1,1,0,0,1,0
19,Pork Sausage Gravy,1,0,0,0,0,0,1,0
19,Bacon,1,0,0,0,0,0,1,0
19,Sausage Links,1,0,0,0,0,0,1,0
19,Breakfast Potatoes,1,1,1,0,0,0,1,0
19,Grits,1,1,1,1,0,0,1,0
19,French Toast,1,0,0,0,0,0,0,0
19,Pancake Syrup ,1,1,1,0,0,0,1,0
19,Oatmeal,1,1,1,1,0,0,0,0
19,Local Grass-fed Burger Patties,1,0,0,0,1,0,1,0
19,Black Bean Burger Patty,1,0,1,1,0,0,0,0
19,Garden Burger Patty,1,0,1,1,0,0,0,0
19,Shoestring Fries,1,1,1,0,0,0,0,0
19,Udi's Gluten-Free Hamburger Bun,1,0,1,0,0,0,1,0
19,Hamburger Bun,1,1,1,0,0,0,0,0
19,Iceberg Lettuce,1,1,1,1,1,0,1,0
19,Sliced Dill Pickles ,1,1,1,1,0,0,1,0
19,Heirloom Tomatoes,1,1,1,1,0,0,1,0
19,Vegan Cheddar Cheese,1,1,1,0,0,0,0,0
19,Sliced Yellow American Cheese,1,0,1,0,0,0,1,0
19,Pineapple Teriyaki Vegan Meatballs,1,1,1,0,0,0,0,0
19,Jasmine Rice,1,1,1,1,0,0,1,0
19,Steamed Green Peas,1,1,1,1,0,0,1,0
19,Vegan Banana French Toast,1,1,1,0,0,0,0,0
19,JUST Egg Scramble,1,1,1,1,0,0,1,0
19,Guacamole Spread,1,1,1,1,0,0,1,0
19,Grit Bowl ,1,1,1,0,0,0,1,0
19,Classic Cheese Pizza,1,0,1,0,0,0,0,0
19,Vegan Cheese Pizza,1,1,1,0,0,0,0,0
19,Classic Pepperoni Pizza,1,0,0,0,0,0,0,0
19,Cheese Bread ,1,0,1,0,0,0,0,0
19,Hearty Chicken Gumbo,1,0,0,0,0,0,0,0
19,Hungarian Mushroom Soup ,1,0,1,0,0,0,0,0
19,White Bread ,1,1,1,0,0,0,0,0
19,Udi's Multigrain Bread,1,0,1,0,0,0,1,0
19,Udi's White Bread,1,0,1,0,0,0,1,0
19,Multigrain Bread,1,1,1,1,0,0,0,0
19,Wheat Bread Slice,1,1,1,1,0,0,0,0
19,Sourdough ,1,0,1,0,0,0,0,0
19,Hoagie Roll,1,0,1,0,0,0,0,0
19,12' Assorted Wraps,1,1,1,0,0,0,0,0
19,Vegan American Sliced Cheese,1,1,1,0,0,0,1,0
19,Sliced Ham,1,0,0,0,0,0,1,0
19,Sliced Roast Beef,1,0,0,0,0,0,1,0
19,Sliced Turkey,1,0,0,1,0,0,1,0
19,Sliced Salami,1,0,0,0,0,0,1,0
19,Chunky Chicken Salad,1,0,0,0,0,0,1,0
19,Tuna Salad,1,0,0,0,0,0,1,0
19,Grilled Chicken Breast,1,0,0,0,0,0,1,0
19,Sliced Red Onion,1,1,1,1,0,0,1,0
19,Heirloom Tomatoes,1,1,1,1,0,0,1,0
19,Sliced Yellow American Cheese,1,0,1,0,0,0,1,0
19,Sliced Pepper Jack Cheese,1,0,1,0,0,0,1,0
19,Swiss Cheese,1,0,1,0,0,0,1,0
19,Sliced Cheddar Cheese,1,0,1,0,0,0,1,0
19,Black Olives,1,1,1,1,0,0,1,0
19,Lettuce,1,1,1,1,1,0,1,0
19,Sliced Dill Pickles ,1,1,1,1,0,0,1,0
19,Banana Peppers,1,1,1,1,0,0,1,0
19,Jalapeno Peppers,1,1,1,1,0,0,1,0
