,date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal
86,19,Hoagie Roll,0,0,1,0,0,0,0,0
87,19,100% Cranberry Juice,0,1,1,0,0,0,1,0
88,19,Seasonal Hot Cocoa,0,0,1,0,0,0,1,0
89,19,Seasonal Apple Cider,0,1,1,0,1,0,1,0
90,19,Maola Whole Milk,0,0,1,0,0,0,1,0
91,19,Maola 2% Reduced Fat Milk,0,0,1,0,0,0,1,0
92,19,Maola Skim Milk,0,0,1,0,0,0,1,0
93,19,Maola 1% Chocolate Milk,0,0,1,0,0,0,1,0
94,19,100% Apple Juice,0,1,1,0,0,0,1,0
95,19,100% Orange Juice,0,1,1,1,0,0,1,0
96,19,Strawberry Kiwi Juice,0,1,1,0,0,0,1,0
97,19,Larry's Coffee,0,1,1,1,1,1,1,0
98,19,Larry's Decaf Coffee,0,1,1,1,1,1,1,0
99,19,Southern Unsweet Tea,0,1,1,0,0,0,0,0
100,19,Southern Sweet Tea,0,1,1,0,0,0,0,0
101,19,Chocolate Soymilk,0,1,1,1,0,0,1,0
102,19,Vanilla Soymilk,0,1,1,1,0,0,1,0
103,19,Dr. Pepper,0,1,1,0,0,0,1,0
104,19,Diet Dr. Pepper,0,1,1,0,0,0,1,0
105,19,Root Beer,0,1,1,0,0,0,1,0
106,19,Sunkist Orange,0,1,1,0,0,0,1,0
107,19,Sierra Mist,0,1,1,0,0,0,1,0
108,19,Tropicana Lemonade,0,1,1,0,0,0,1,0
109,19,Tropicana Fruit Punch,0,1,1,0,0,0,1,0
110,19,Mountain Dew,0,1,1,0,0,0,1,0
111,19,Diet Mountain Dew,0,1,1,0,0,0,1,0
112,19,SoBe Lifewater Pomegranate,0,1,1,0,0,0,0,0
113,19,Brisk Green Tea Peach,0,1,1,0,0,0,0,0
114,19,Cheerwine,0,1,1,0,0,0,1,0
115,19,Diet Pepsi,0,1,1,0,0,0,1,0
116,19,Pepsi,0,1,1,0,0,0,1,0
117,19,Gatorade Fruit Punch,0,1,1,0,0,0,1,0
118,19,Gatorade Orange,0,1,1,0,0,0,0,0
119,19,Waffle Bar,1,0,1,0,0,0,0,0
120,19,Vegan Cranberry Almond Orange Quickbread,1,1,1,0,0,0,0,0
121,19,Apple Cinnamon Quickbread,1,0,1,0,0,0,1,0
122,19,Croissant,1,0,1,0,0,0,0,0
123,19,Cinnamon Rolls,1,0,1,0,0,0,0,0
124,19,Raisin Bran Muffin ,1,0,1,0,0,0,0,0
125,19,Coffee Cake,1,0,1,0,0,0,0,0
126,19,Assorted Donuts,1,0,1,0,0,0,0,0
127,19,Chocolate Soft Serve Ice Cream,1,0,1,0,0,0,1,0
128,19,Vanilla Soft Serve Ice Cream,1,0,1,0,0,0,1,0
129,19,Chicken Shawarma,1,0,0,0,0,0,1,1
130,19,Yellow Rice,1,1,1,1,0,0,1,0
131,19,Roasted Cauliflower,1,1,1,1,0,0,1,0
132,19,Steamed Broccoli ,1,1,1,1,0,0,1,0
