date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal
25,Sunkist Orange,0,1,1,0,0,0,1,0
25,Sierra Mist,0,1,1,0,0,0,1,0
25,Tropicana Lemonade,0,1,1,0,0,0,1,0
25,Tropicana Fruit Punch,0,1,1,0,0,0,1,0
25,Mountain Dew,0,1,1,0,0,0,1,0
25,Diet Mountain Dew,0,1,1,0,0,0,1,0
25,SoBe Lifewater Pomegranate,0,1,1,0,0,0,0,0
25,Brisk Green Tea Peach,0,1,1,0,0,0,0,0
25,Cheerwine,0,1,1,0,0,0,1,0
25,Diet Pepsi,0,1,1,0,0,0,1,0
25,Pepsi,0,1,1,0,0,0,1,0
25,Gatorade Fruit Punch,0,1,1,0,0,0,1,0
25,Gatorade Orange,0,1,1,0,0,0,0,0
25,Waffle Bar,1,0,1,0,0,0,0,0
25,Breakfast Nut Bread,1,1,1,1,0,0,0,0
25,Raspberry Muffin,1,0,1,0,0,0,1,0
25,Cinnamon Rolls,1,0,1,0,0,0,0,0
25,Blueberry Muffin,1,0,1,0,0,0,0,0
25,Orange Coffee Cake w/ Chocolate Streusel,1,0,1,0,0,0,0,0
25,Assorted Danishes ,1,0,1,0,0,0,0,0
25,Assorted Donuts,1,0,1,0,0,0,0,0
25,Vanilla Soft Serve Ice Cream,1,0,1,0,0,0,1,0
25,Chocolate Soft Serve Ice Cream,1,0,1,0,0,0,1,0
25,Herbed Grilled Pork Chop,1,0,0,1,0,0,1,0
25,Steamed Broccoli ,1,1,1,1,0,0,1,0
25,White Rice,1,1,1,1,0,0,1,0
25,Steamed Baby Carrots,1,1,1,1,0,0,1,0
25,Scrambled Eggs,1,0,1,1,0,0,1,0
25,Pork Sausage Gravy,1,0,0,0,0,0,1,0
25,Bacon,1,0,0,0,0,0,1,0
25,Sausage Links,1,0,0,0,0,0,1,0
25,Breakfast Potatoes,1,1,1,0,0,0,1,0
25,Grits,1,1,1,1,0,0,1,0
25,Biscuits,1,0,1,0,0,0,0,0
25,Buttermilk Pancakes,1,0,1,0,0,0,0,0
25,Oatmeal,1,1,1,1,0,0,0,0
25,Pancake Syrup ,1,1,1,0,0,0,1,0
25,Chorizo Breakfast Bowl,1,0,0,0,0,0,1,0
25,Vegetarian Chorizo Breakfast Bowl,1,0,1,0,0,0,1,0
25,Pumpkin Curry Grain Bowl,1,1,1,0,0,0,0,0
25,Vegan Mango Pancakes,1,1,1,0,0,0,0,0
25,JUST Egg Scramble,1,1,1,1,0,0,1,0
25,Guacamole Spread,1,1,1,1,0,0,1,0
25,Pancake Syrup ,1,1,1,0,0,0,1,0
25,Grit Bowl ,1,1,1,0,0,0,1,0
25,Vegan Cheese Pizza,1,1,1,0,0,0,0,0
25,Classic Cheese Pizza,1,0,1,0,0,0,0,0
25,Classic Pepperoni Pizza,1,0,0,0,0,0,0,0
