id,date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal,location
80,19,Roasted Fresh Asparagus,brunch,1,1,1,0,0,1,0,Lenoir
81,19,Rosemary Potatoes,brunch,1,1,1,0,0,1,0,Lenoir
82,19,Vegan Blueberry Pancake,brunch,1,1,0,0,0,0,0,Lenoir
83,19,Rosemary Potatoes,brunch,1,1,1,0,0,1,0,Lenoir
84,19,Turmeric Tofu Scramble,brunch,1,1,1,0,0,1,0,Lenoir
85,19,Cajun Breakfast Stir- Fry,brunch,1,1,1,0,0,1,0,Lenoir
86,19,Pancake Syrup ,brunch,1,1,0,0,0,1,0,Lenoir
87,19,Oatmeal,brunch,1,1,1,0,0,0,0,Lenoir
88,19,Grits,brunch,1,1,1,0,0,1,0,Lenoir
89,19,Blueberry Buttermilk Pancakes,brunch,0,0,0,0,0,0,0,Lenoir
90,19,Fried Tater Tots,brunch,1,1,0,0,0,1,0,Lenoir
91,19,Pork Sausage Link,brunch,0,0,0,0,0,0,0,Lenoir
92,19,Bacon,brunch,0,0,0,0,0,1,0,Lenoir
93,19,Scrambled Eggs,brunch,0,1,1,0,0,1,0,Lenoir
94,19,Veggie Sausage Patties,brunch,0,1,1,0,0,0,0,Lenoir
95,19,Pork Sausage Gravy,brunch,0,0,0,0,0,1,0,Lenoir
96,19,Pancake Syrup ,brunch,1,1,0,0,0,1,0,Lenoir
97,19,Biscuits,brunch,0,1,0,0,0,0,0,Lenoir
98,19,Chicken Chipotle Soup,brunch,0,0,1,0,0,1,0,Lenoir
99,19,Split Pea Soup ,brunch,1,1,1,0,0,1,0,Lenoir
100,19,Hamburger,brunch,0,0,0,0,0,0,0,Lenoir
101,19,Malibu Gardenburger,brunch,1,1,1,0,0,0,0,Lenoir
102,19,Waffle Fries,brunch,1,1,0,0,0,0,0,Lenoir
103,19,Udi's Gluten-Free Hamburger Bun,brunch,0,1,0,0,0,1,0,Lenoir
104,19,Sliced Yellow American Cheese,brunch,0,1,0,0,0,1,0,Lenoir
105,19,Hamburger Bun,brunch,1,1,0,0,0,0,0,Lenoir
106,19,Assorted Veggie Toppings ,brunch,1,1,1,0,0,1,0,Lenoir
107,19,Schar Ciabatta Roll,brunch,1,1,0,0,0,1,0,Lenoir
108,19,JP's Brownie,brunch,1,1,0,0,0,1,0,Lenoir
109,19,JP's GF Hawaiian Rolls,brunch,0,1,0,0,0,1,0,Lenoir
110,19,JP's GF Vegan Chocolate Cupcake,brunch,1,1,0,0,0,1,0,Lenoir
111,19,JP's Gluten-Free Blueberry Muffins,brunch,0,0,0,0,0,1,0,Lenoir
112,19,JP's Key Lime Cheesecake Bar,brunch,0,1,0,0,0,1,0,Lenoir
113,19,Katz Powdered Donut Holes,brunch,0,1,0,0,0,1,0,Lenoir
114,19,Katz Cinnamon Donut Hole,brunch,0,1,0,0,0,1,0,Lenoir
115,19,Katz Glazed Donut Holes,brunch,0,1,0,0,0,1,0,Lenoir
116,19,Katz Oatmeal Creme Pie,brunch,0,1,0,0,0,1,0,Lenoir
117,19,Kinnikinnick Birthday Cream Sandwich Cookie,brunch,1,1,0,0,0,1,0,Lenoir
118,19,Kinnikinnick Mint Magic Sandwich Creme Cookies,brunch,1,1,0,0,0,1,0,Lenoir
119,19,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,brunch,1,1,0,0,0,1,0,Lenoir
120,19,Kinnikinnick Chocolate Sandwich Creme Cookies,brunch,1,1,0,0,0,1,0,Lenoir
121,19,Kinnikinnick Cinnamon Sugar Donuts,brunch,0,1,0,0,0,1,0,Lenoir
122,19,Kinnikinnick Vanilla Glazed Donuts,brunch,0,1,0,0,0,1,0,Lenoir
123,19,O'Doughs Original Bagel,brunch,1,1,0,0,0,1,0,Lenoir
124,19,O'doughs Everything Bagel,brunch,1,1,0,0,0,1,0,Lenoir
125,19,O'Doughs Pumpernickel Bagel,brunch,1,1,0,0,0,1,0,Lenoir
126,19,O'Doughs Original Sandwich Slices,brunch,1,1,0,0,0,1,0,Lenoir
127,19,O'Doughs Multigrain Sandwich Slices,brunch,1,1,0,0,0,1,0,Lenoir
128,19,Froot Loops,brunch,0,1,0,0,0,0,0,Lenoir
129,19,Cocoa Puffs,brunch,0,1,0,0,0,0,0,Lenoir
130,19,Trix,brunch,0,1,0,0,0,1,0,Lenoir
131,19,Frosted Flakes,brunch,0,1,0,0,0,0,0,Lenoir
132,19,Rice Krispies,brunch,0,1,1,0,0,0,0,Lenoir
133,19,Crunchy Oats and Honey Granola,brunch,0,1,0,0,0,0,0,Lenoir
134,19,Special K With Red Berries,brunch,0,1,0,0,0,0,0,Lenoir
135,19,Frosted Mini Wheats,brunch,0,0,0,0,0,0,0,Lenoir
136,19,Cinnamon Toast Crunch,brunch,0,1,0,0,0,0,0,Lenoir
137,19,Lucky Charms,brunch,0,0,0,0,0,0,0,Lenoir
138,19,Honey Mustard,brunch,0,1,0,0,0,1,0,Lenoir
139,19,Blue Cheese Dressing,brunch,0,1,0,0,0,1,0,Lenoir
140,19,Ranch Dressing,brunch,0,1,0,0,0,1,0,Lenoir
141,19,Creamy Caesar Dressing,brunch,0,0,0,0,0,1,0,Lenoir
142,19,Balsamic Vinaigrette,brunch,1,1,0,0,0,1,0,Lenoir
143,19,Italian Dressing,brunch,1,1,0,0,0,1,0,Lenoir
144,19,Thousand Island Dressing,brunch,0,1,0,0,0,1,0,Lenoir
145,19,Fat-Free French Dressing,brunch,1,1,0,0,0,1,0,Lenoir
146,19,Black Beans,brunch,1,1,1,0,0,1,0,Lenoir
147,19,Oats and Honey Granola,brunch,0,1,0,0,0,0,0,Lenoir
148,19,Grapes,brunch,1,1,1,0,0,1,0,Lenoir
149,19,Pineapple,brunch,1,1,1,0,0,1,0,Lenoir
150,19,Honey Dew,brunch,1,1,1,0,0,1,0,Lenoir
151,19,Cantaloupe,brunch,1,1,1,0,0,1,0,Lenoir
152,19,Raisins,brunch,1,1,1,0,0,1,0,Lenoir
153,19,Cheddar Cheese,brunch,0,1,0,0,0,1,0,Lenoir
154,19,Bacon Pieces,brunch,0,0,0,0,0,1,0,Lenoir
155,19,Sliced Cucumber,brunch,1,1,1,0,0,1,0,Lenoir
156,19,Sliced Red Onion,brunch,1,1,1,0,0,1,0,Lenoir
157,19,Shredded Carrots,brunch,1,1,1,0,0,1,0,Lenoir
158,19,Black Olives,brunch,1,1,1,0,0,1,0,Lenoir
159,19,Spring Salad Mix,brunch,1,1,1,1,0,1,0,Lenoir
160,19,Baby Spinach,brunch,1,1,1,0,0,1,0,Lenoir
161,19,Croutons,brunch,0,1,0,0,0,0,0,Lenoir
162,19,Larry's Decaf Coffee,brunch,1,1,1,1,1,1,0,Lenoir
163,19,Larry's Coffee,brunch,1,1,1,1,1,1,0,Lenoir
164,19,Honey Mustard,liteLunch,0,1,0,0,0,1,0,Lenoir
165,19,Sriracha Sauce,liteLunch,1,1,0,0,0,1,0,Lenoir
166,19,Peanut Butter,liteLunch,1,1,0,0,0,1,0,Lenoir
167,19,Waffle Bar,liteLunch,0,1,0,0,0,0,0,Lenoir
168,19,Rice Krispie Treats,liteLunch,0,0,0,0,0,0,0,Lenoir
169,19,Assorted Cookies,liteLunch,0,1,0,0,0,0,0,Lenoir
170,19,Fudge Brownie,liteLunch,0,1,0,0,0,0,0,Lenoir
171,19,Classic Cheese Pizza,liteLunch,0,1,0,0,0,0,0,Lenoir
172,19,Classic Pepperoni Pizza,liteLunch,0,0,0,0,0,0,0,Lenoir
173,19,Schar Ciabatta Roll,liteLunch,1,1,0,0,0,1,0,Lenoir
174,19,JP's Brownie,liteLunch,1,1,0,0,0,1,0,Lenoir
175,19,JP's GF Hawaiian Rolls,liteLunch,0,1,0,0,0,1,0,Lenoir
176,19,JP's GF Vegan Chocolate Cupcake,liteLunch,1,1,0,0,0,1,0,Lenoir
177,19,JP's Gluten-Free Blueberry Muffins,liteLunch,0,0,0,0,0,1,0,Lenoir
178,19,JP's Key Lime Cheesecake Bar,liteLunch,0,1,0,0,0,1,0,Lenoir
179,19,Katz Powdered Donut Holes,liteLunch,0,1,0,0,0,1,0,Lenoir
180,19,Katz Cinnamon Donut Hole,liteLunch,0,1,0,0,0,1,0,Lenoir
181,19,Katz Glazed Donut Holes,liteLunch,0,1,0,0,0,1,0,Lenoir
182,19,Katz Oatmeal Creme Pie,liteLunch,0,1,0,0,0,1,0,Lenoir
183,19,Kinnikinnick Birthday Cream Sandwich Cookie,liteLunch,1,1,0,0,0,1,0,Lenoir
184,19,Kinnikinnick Mint Magic Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
185,19,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
186,19,Kinnikinnick Chocolate Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
187,19,Kinnikinnick Cinnamon Sugar Donuts,liteLunch,0,1,0,0,0,1,0,Lenoir
188,19,Kinnikinnick Vanilla Glazed Donuts,liteLunch,0,1,0,0,0,1,0,Lenoir
189,19,O'Doughs Original Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
190,19,O'doughs Everything Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
191,19,O'Doughs Pumpernickel Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
192,19,O'Doughs Original Sandwich Slices,liteLunch,1,1,0,0,0,1,0,Lenoir
193,19,O'Doughs Multigrain Sandwich Slices,liteLunch,1,1,0,0,0,1,0,Lenoir
194,19,Froot Loops,liteLunch,0,1,0,0,0,0,0,Lenoir
195,19,Cocoa Puffs,liteLunch,0,1,0,0,0,0,0,Lenoir
196,19,Trix,liteLunch,0,1,0,0,0,1,0,Lenoir
197,19,Frosted Flakes,liteLunch,0,1,0,0,0,0,0,Lenoir
198,19,Rice Krispies,liteLunch,0,1,1,0,0,0,0,Lenoir
199,19,Crunchy Oats and Honey Granola,liteLunch,0,1,0,0,0,0,0,Lenoir
200,19,Special K With Red Berries,liteLunch,0,1,0,0,0,0,0,Lenoir
201,19,Frosted Mini Wheats,liteLunch,0,0,0,0,0,0,0,Lenoir
202,19,Cinnamon Toast Crunch,liteLunch,0,1,0,0,0,0,0,Lenoir
203,19,Lucky Charms,liteLunch,0,0,0,0,0,0,0,Lenoir
204,19,Honey Mustard,liteLunch,0,1,0,0,0,1,0,Lenoir
205,19,Blue Cheese Dressing,liteLunch,0,1,0,0,0,1,0,Lenoir
206,19,Ranch Dressing,liteLunch,0,1,0,0,0,1,0,Lenoir
207,19,Creamy Caesar Dressing,liteLunch,0,0,0,0,0,1,0,Lenoir
208,19,Balsamic Vinaigrette,liteLunch,1,1,0,0,0,1,0,Lenoir
209,19,Italian Dressing,liteLunch,1,1,0,0,0,1,0,Lenoir
210,19,Thousand Island Dressing,liteLunch,0,1,0,0,0,1,0,Lenoir
211,19,Fat-Free French Dressing,liteLunch,1,1,0,0,0,1,0,Lenoir
212,19,Black Beans,liteLunch,1,1,1,0,0,1,0,Lenoir
213,19,Oats and Honey Granola,liteLunch,0,1,0,0,0,0,0,Lenoir
214,19,Grapes,liteLunch,1,1,1,0,0,1,0,Lenoir
215,19,Pineapple,liteLunch,1,1,1,0,0,1,0,Lenoir
216,19,Honey Dew,liteLunch,1,1,1,0,0,1,0,Lenoir
217,19,Cantaloupe,liteLunch,1,1,1,0,0,1,0,Lenoir
218,19,Raisins,liteLunch,1,1,1,0,0,1,0,Lenoir
219,19,Cheddar Cheese,liteLunch,0,1,0,0,0,1,0,Lenoir
220,19,Bacon Pieces,liteLunch,0,0,0,0,0,1,0,Lenoir
221,19,Sliced Cucumber,liteLunch,1,1,1,0,0,1,0,Lenoir
222,19,Sliced Red Onion,liteLunch,1,1,1,0,0,1,0,Lenoir
223,19,Shredded Carrots,liteLunch,1,1,1,0,0,1,0,Lenoir
224,19,Black Olives,liteLunch,1,1,1,0,0,1,0,Lenoir
225,19,Spring Salad Mix,liteLunch,1,1,1,1,0,1,0,Lenoir
226,19,Baby Spinach,liteLunch,1,1,1,0,0,1,0,Lenoir
227,19,Croutons,liteLunch,0,1,0,0,0,0,0,Lenoir
228,19,Waffle Bar,liteLunch,0,1,0,0,0,0,0,Lenoir
229,19,Jamocha Almond Cupcake,liteLunch,0,1,0,0,0,0,0,Lenoir
230,19,Assorted Cookies,liteLunch,0,1,0,0,0,0,0,Lenoir
231,19,Fudge Brownie,liteLunch,0,1,0,0,0,0,0,Lenoir
232,19,Rice Krispie Treats,liteLunch,0,0,0,0,0,0,0,Lenoir
233,19,Chocolate Chip Cookie,liteLunch,0,1,0,0,0,1,0,Lenoir
234,19,Coconut Date Ball,liteLunch,1,1,0,0,0,1,0,Lenoir
235,19,Mini Oreo Brownie Pudding Parfait,liteLunch,0,1,0,0,0,0,0,Lenoir
236,19,Mac and Cheese ,liteLunch,0,1,0,0,0,0,0,Lenoir
237,19,Assorted Dinner Rolls,liteLunch,0,1,0,0,0,0,0,Lenoir
238,19,Pepper and Red Onion Pizza,liteLunch,0,1,0,0,0,0,0,Lenoir
239,19,Cheese Bread,liteLunch,0,1,0,0,0,0,0,Lenoir
240,19,Vegan Cheese Pizza,liteLunch,1,1,0,0,0,0,0,Lenoir
241,19,Classic Cheese Pizza,liteLunch,0,1,0,0,0,0,0,Lenoir
242,19,Classic Pepperoni Pizza,liteLunch,0,0,0,0,0,0,0,Lenoir
243,19,Rice Pasta ,liteLunch,0,0,0,0,0,1,0,Lenoir
244,19,Whole Grain Penne,liteLunch,1,1,1,0,0,0,0,Lenoir
245,19,Marinara Sauce ,liteLunch,1,1,1,0,0,1,0,Lenoir
246,19,Bolognese Sauce,liteLunch,0,0,0,0,0,1,0,Lenoir
247,19,Alfredo Sauce,liteLunch,0,1,0,0,0,1,0,Lenoir
248,19,Italian Sausage,liteLunch,0,0,0,0,0,1,0,Lenoir
249,19,Penne,liteLunch,1,1,0,0,0,0,0,Lenoir
250,19,Freshly Roasted Squash and Zucchini,liteLunch,1,1,1,0,0,1,0,Lenoir
251,19,Cajun Rotisserie Chicken,liteLunch,0,0,0,0,0,1,0,Lenoir
252,19,Roasted Cherry Tomatoes,liteLunch,1,1,1,0,0,1,0,Lenoir
253,19,Spanish Rice,liteLunch,1,1,1,0,0,1,0,Lenoir
254,19,Steamed Broccoli ,liteLunch,1,1,1,0,0,1,0,Lenoir
255,19,Vegan Meatballs with Spicy Sweet Tomato Sauce,liteLunch,1,1,0,0,0,0,0,Lenoir
256,19,Steamed Peas,liteLunch,1,1,1,0,0,1,0,Lenoir
257,19,Maple Carrots,liteLunch,1,1,0,0,0,1,0,Lenoir
258,19,Vegan Horseradish Mashed Potatoes,liteLunch,1,1,1,0,0,1,0,Lenoir
259,19,Turkey Meatloaf,liteLunch,0,0,1,0,0,0,0,Lenoir
260,19,Ancho BBQ Sauce,liteLunch,1,1,0,0,0,1,0,Lenoir
261,19,Sauteed Spinach,liteLunch,1,1,1,0,0,1,0,Lenoir
262,19,Steamed Fresh Cauliflower,liteLunch,1,1,1,0,0,1,0,Lenoir
263,19,Steamed Corn on the Cob,liteLunch,1,1,1,0,0,1,0,Lenoir
264,19,Seasoned Taco Beef,liteLunch,0,0,0,0,0,1,0,Lenoir
265,19,Popcorn Shrimp,liteLunch,0,0,0,0,0,0,0,Lenoir
266,19,Chipotle Mayo,liteLunch,0,1,0,0,0,1,0,Lenoir
267,19,Cilantro Lime Rice,liteLunch,1,1,1,0,0,1,0,Lenoir
268,19,Brown Rice,liteLunch,1,1,1,0,0,1,0,Lenoir
269,19,White Tortilla,liteLunch,1,1,0,0,0,0,0,Lenoir
270,19,Sour Cream,liteLunch,0,0,0,0,0,1,0,Lenoir
271,19,Zesty Salsa Verde,liteLunch,1,1,1,0,0,1,0,Lenoir
272,19,Jalapeno Cabbage Slaw,liteLunch,1,1,1,0,0,1,0,Lenoir
273,19,Jalapeno Peppers,liteLunch,1,1,1,0,0,1,0,Lenoir
274,19,Lettuce,liteLunch,1,1,1,0,0,1,0,Lenoir
275,19,Pico Salsa,liteLunch,1,1,1,0,0,1,0,Lenoir
276,19,Guacamole Spread,liteLunch,1,1,1,0,0,1,0,Lenoir
277,19,Sautéed Peppers and Onions,liteLunch,1,1,1,0,0,1,0,Lenoir
278,19,Seasoned Black Beans,liteLunch,1,1,1,0,0,1,0,Lenoir
279,19,Creamy Queso Dip,liteLunch,0,1,0,0,0,1,0,Lenoir
280,19,Monterey Jack Cheese,liteLunch,0,1,0,0,0,1,0,Lenoir
281,19,Cheddar Cheese,liteLunch,0,1,0,0,0,1,0,Lenoir
282,19,Salsa,liteLunch,1,1,1,0,0,1,0,Lenoir
283,19,Hot Tortilla Chips,liteLunch,1,1,0,0,0,1,0,Lenoir
284,19,Creamy Queso Dip,liteLunch,0,1,0,0,0,1,0,Lenoir
285,19,Split Pea Soup ,liteLunch,1,1,1,0,0,1,0,Lenoir
286,19,Manhattan Clam Chowder,liteLunch,0,0,1,0,0,1,0,Lenoir
287,19,Crispy Chicken Breast,liteLunch,0,0,0,0,0,0,0,Lenoir
288,19,Waffle Fries,liteLunch,1,1,0,0,0,0,0,Lenoir
289,19,Udi's Gluten-Free Hamburger Bun,liteLunch,0,1,0,0,0,1,0,Lenoir
290,19,Assorted Veggie Toppings ,liteLunch,1,1,1,0,0,1,0,Lenoir
291,19,Hamburger Bun,liteLunch,1,1,0,0,0,0,0,Lenoir
292,19,Schar Ciabatta Roll,liteLunch,1,1,0,0,0,1,0,Lenoir
293,19,JP's Brownie,liteLunch,1,1,0,0,0,1,0,Lenoir
294,19,JP's GF Hawaiian Rolls,liteLunch,0,1,0,0,0,1,0,Lenoir
295,19,JP's GF Vegan Chocolate Cupcake,liteLunch,1,1,0,0,0,1,0,Lenoir
296,19,JP's Gluten-Free Blueberry Muffins,liteLunch,0,0,0,0,0,1,0,Lenoir
297,19,JP's Key Lime Cheesecake Bar,liteLunch,0,1,0,0,0,1,0,Lenoir
298,19,Katz Powdered Donut Holes,liteLunch,0,1,0,0,0,1,0,Lenoir
299,19,Katz Cinnamon Donut Hole,liteLunch,0,1,0,0,0,1,0,Lenoir
300,19,Katz Glazed Donut Holes,liteLunch,0,1,0,0,0,1,0,Lenoir
301,19,Katz Oatmeal Creme Pie,liteLunch,0,1,0,0,0,1,0,Lenoir
302,19,Kinnikinnick Birthday Cream Sandwich Cookie,liteLunch,1,1,0,0,0,1,0,Lenoir
303,19,Kinnikinnick Mint Magic Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
304,19,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
305,19,Kinnikinnick Chocolate Sandwich Creme Cookies,liteLunch,1,1,0,0,0,1,0,Lenoir
306,19,Kinnikinnick Cinnamon Sugar Donuts,liteLunch,0,1,0,0,0,1,0,Lenoir
307,19,Kinnikinnick Vanilla Glazed Donuts,liteLunch,0,1,0,0,0,1,0,Lenoir
308,19,O'Doughs Original Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
309,19,O'doughs Everything Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
310,19,O'Doughs Pumpernickel Bagel,liteLunch,1,1,0,0,0,1,0,Lenoir
311,19,O'Doughs Original Sandwich Slices,liteLunch,1,1,0,0,0,1,0,Lenoir
312,19,O'Doughs Multigrain Sandwich Slices,liteLunch,1,1,0,0,0,1,0,Lenoir
313,19,Froot Loops,liteLunch,0,1,0,0,0,0,0,Lenoir
314,19,Cocoa Puffs,liteLunch,0,1,0,0,0,0,0,Lenoir
315,19,Trix,liteLunch,0,1,0,0,0,1,0,Lenoir
316,19,Frosted Flakes,liteLunch,0,1,0,0,0,0,0,Lenoir
317,19,Rice Krispies,liteLunch,0,1,1,0,0,0,0,Lenoir
318,19,Crunchy Oats and Honey Granola,liteLunch,0,1,0,0,0,0,0,Lenoir
319,19,Special K With Red Berries,liteLunch,0,1,0,0,0,0,0,Lenoir
320,19,Frosted Mini Wheats,liteLunch,0,0,0,0,0,0,0,Lenoir
321,19,Cinnamon Toast Crunch,liteLunch,0,1,0,0,0,0,0,Lenoir
322,19,Lucky Charms,liteLunch,0,0,0,0,0,0,0,Lenoir
323,19,Honey Mustard,liteLunch,0,1,0,0,0,1,0,Lenoir
324,19,Blue Cheese Dressing,liteLunch,0,1,0,0,0,1,0,Lenoir
325,19,Ranch Dressing,liteLunch,0,1,0,0,0,1,0,Lenoir
326,19,Creamy Caesar Dressing,liteLunch,0,0,0,0,0,1,0,Lenoir
327,19,Balsamic Vinaigrette,liteLunch,1,1,0,0,0,1,0,Lenoir
328,19,Italian Dressing,liteLunch,1,1,0,0,0,1,0,Lenoir
